'CPT CODE RANGE','SURGERY FLAG'
'32851-32854','2'
'32900-32900','2'
'32905-32906','2'
'32940-32940','2'
'32960-32960','1'
'32997-32998','1'
'33010-33011','1'
'33015-33015','2'
'33020-33020','2'
'33025-33025','2'
'33030-33031','2'
'33050-33050','2'
'33120-33120','2'
'33130-33130','2'
'33140-33140','2'
'33200-33203','2'
'33206-33208','2'
'33210-33218','2'
'33220-33224','2'
'33226-33231','2'
'33233-33238','2'
'33240-33241','2'
'33243-33246','2'
'33249-33251','2'
'33253-33256','2'
'33261-33266','2'
'33270-33273','1'
'33282-33282','1'
'33284-33284','1'
'33300-33300','2'
'33305-33305','2'
'33310-33310','2'
'33315-33315','2'
'33320-33322','2'
'33330-33330','2'
'33332-33332','2'
'33335-33335','2'
'33340-33340','2'
'33361-33366','2'
'33390-33391','2'
'33400-33401','2'
'33403-33406','2'
'33410-33418','2'
'33420-33420','2'
'33422-33422','2'
'33425-33427','2'
'33430-33430','2'
'33460-33460','2'
'33463-33465','2'
'33468-33468','2'
'33470-33472','2'
'33474-33478','2'
'33496-33496','2'
'33500-33507','2'
'33510-33514','2'
'33516-33516','2'
'33533-33536','2'
'33542-33542','2'
'33545-33545','2'
'33548-33548','2'
'33600-33600','2'
'33602-33602','2'
'33606-33606','2'
'33608-33608','2'
'33610-33612','2'
'33615-33615','2'
'33617-33617','2'
'33619-33622','2'
'33641-33641','2'
'33645-33645','2'
'33647-33647','2'
'33660-33660','2'
'33665-33665','2'
'33670-33670','2'
'33675-33677','2'
'33681-33681','2'
'33684-33684','2'
'33688-33688','2'
'33690-33690','2'
'33692-33692','2'
'33694-33694','2'
'33697-33697','2'
'33702-33702','2'
'33710-33710','2'
'33720-33720','2'
'33722-33722','2'
'33724-33724','2'
'33726-33726','2'
'33730-33730','2'
'33732-33732','2'
'33735-33737','2'
'33750-33750','2'
'33755-33755','2'
'33762-33762','2'
'33764-33764','2'
'33766-33767','2'
'33770-33771','2'
'33774-33783','2'
'33786-33786','2'
'33788-33788','2'
'33800-33800','2'
'33802-33803','2'
'33813-33814','2'
'33820-33820','2'
'33822-33822','2'
'33824-33824','2'
'33840-33840','2'
'33845-33845','2'
'33851-33853','2'
'33860-33861','2'
'33863-33864','2'
'33870-33870','2'
'33875-33875','2'
'33877-33877','2'
'33880-33881','2'
'33883-33883','2'
'33886-33886','2'
'33889-33889','2'
'33891-33891','2'
'33910-33910','2'
'33915-33917','2'
'33920-33920','2'
'33922-33922','2'
'33925-33926','2'
'33935-33935','2'
'33945-33945','2'
'33967-33967','1'
'33970-33971','2'
'33973-33983','2'
'33988-33989','2'
'33990-33991','1'
'33993-33993','1'
'34001-34001','2'
'34051-34051','2'
'34101-34101','2'
'34111-34111','2'
'34151-34151','2'
'34201-34201','2'
'34203-34203','2'
'34401-34401','2'
'34421-34421','2'
'34451-34451','2'
'34471-34471','2'
'34490-34490','2'
'34501-34502','2'
'34510-34510','2'
'34520-34520','2'
'34530-34530','2'
'34800-34800','2'
'34802-34805','2'
'34812-34812','2'
'34820-34820','2'
'34825-34825','2'
'34830-34834','2'
'34841-34848','2'
'34900-34900','2'
'35001-35002','2'
'35005-35005','2'
'35011-35011','2'
'35013-35013','2'
'35021-35022','2'
'35045-35045','2'
'35081-35082','2'
'35091-35092','2'
'35102-35103','2'
'35111-35112','2'
'35121-35122','2'
'35131-35132','2'
'35141-35142','2'
'35151-35152','2'
'35180-35180','2'
'35182-35182','2'
'35184-35184','2'
'35188-35190','2'
'35201-35201','2'
'35206-35207','2'
