icd_cm,ver
'C460',10
'C461',10
'C462',10
'C463',10
'C464',10
'C4650',10
'C4651',10
'C4652',10
'C467',10
'C469',10
'C6900',10
'C6901',10
'C6902',10
'C6910',10
'C6911',10
'C6912',10
'C6920',10
'C6921',10
'C6922',10
'C6930',10
'C6931',10
'C6932',10
'C6940',10
'C6941',10
'C6942',10
'C6950',10
'C6951',10
'C6952',10
'C6960',10
'C6961',10
'C6962',10
'C6980',10
'C6981',10
'C6982',10
'C6990',10
'C6991',10
'C6992',10
'C7400',10
'C7401',10
'C7402',10
'C7410',10
'C7411',10
'C7412',10
'C7490',10
'C7491',10
'C7492',10
'C750',10
'C751',10
'C752',10
'C753',10
'C754',10
'C755',10
'C758',10
'C759',10
'C761',10
'C762',10
'C763',10
'C7640',10
'C7641',10
'C7642',10
'C7650',10
'C7651',10
'C7652',10
'C768',10
'C7A091',10
'C7A094',10
'C7A095',10
'C7A096',10
'C960',10
'C962',10
'C9620',10
'C9621',10
'C9622',10
'C9629',10
'C965',10
'C966',10
'C96A',10
'Z85020',10
'Z85030',10
'Z85040',10
'Z85060',10
'Z85110',10
'Z85230',10
'Z85238',10
'Z8529',10
'Z85520',10
'Z85821',10
'Z85830',10
'Z85831',10
'Z85840',10
'Z85858',10
'Z8589',10
'Z859',10
'Z86008',10
'Z86012',10
'Z86018',10
'Z8603',10
'1960',9
'1961',9
'1962',9
'1963',9
'1965',9
'1966',9
'1968',9
'1969',9
'1970',9
'1971',9
'1972',9
'1973',9
'1974',9
'1975',9
'1976',9
'1977',9
'1978',9
'1980',9
'1981',9
'1982',9
'1983',9
'1984',9
'1985',9
'1986',9
'1987',9
'19881',9
'19882',9
'19889',9
'20971',9
'20972',9
'20973',9
'20974',9
'51181',9
'78951',9
'C770',10
'C771',10
'C772',10
'C773',10
'C774',10
'C775',10
'C778',10
'C779',10
'C7800',10
'C7801',10
'C7802',10
'C781',10
'C782',10
'C7830',10
'C7839',10
'C784',10
'C785',10
'C786',10
'C787',10
'C7880',10
'C7889',10
'C7900',10
'C7901',10
'C7902',10
'C7910',10
'C7911',10
'C7919',10
'C792',10
'C7931',10
'C7932',10
'C7940',10
'C7949',10
'C7951',10
'C7952',10
'C7960',10
'C7961',10
'C7962',10
'C7970',10
'C7971',10
'C7972',10
'C7981',10
'C7982',10
'C7989',10
'C799',10
'C7B01',10
'C7B02',10
'C7B03',10
'C7B04',10
'J910',10
'R180',10
'1990',9
'1991',9
'1992',9
'20920',9
'20929',9
'20930',9
'20970',9
'20975',9
'20979',9
'C459',10
'C7A00',10
'C7A098',10
'C7A1',10
'C7A8',10
'C7B00',10
'C7B09',10
'C7B1',10
'C7B8',10
'C800',10
'C801',10
'C802',10
'V580',9
'V581',9
'V5811',9
'V5812',9
'V661',9
'V662',9
'V671',9
'V672',9
'Z510',10
'Z5111',10
'Z5112',10
